name;user_time;user_time_low_priority;system_time;idle_time;??;time_servicing_interrupts;time_servicing_softirqs;stolen_time;virtual_cpu_time;time_spend_gess
cpu;1327290;28937;359171;593346042;30498;237138;244550;0;0;0
cpu0;52082;1688;85156;48328832;2209;167321;182424;0;0;0
cpu1;88700;2636;57317;49534108;3001;8126;4326;0;0;0
cpu2;109305;2041;40230;49534039;2421;7947;4471;0;0;0
cpu3;146866;3904;20972;49453951;2291;16918;22542;0;0;0
cpu4;73343;3276;23469;49590833;3185;6511;5460;0;0;0
cpu5;98603;1052;25887;49571121;2186;4852;4165;0;0;0
cpu6;61226;1012;20679;49611780;3910;4953;4238;0;0;0
cpu7;210517;770;20950;49464427;3632;4736;3872;0;0;0
cpu8;72616;3110;18757;49607780;1737;4464;4333;0;0;0
cpu9;81233;2279;16630;49606494;1522;3788;2947;0;0;0
cpu10;72856;3898;15144;49614288;2397;3598;2764;0;0;0
cpu11;259936;3266;13975;49428382;2002;3917;3002;0;0;0


intr;307842066;0;18653739;36936034;0;0;0;12328498;0;0;0;0;0;134739334;0;34;0;0;0;0;24;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;27655955;935354;708965;605423;921115;0;0;0;0;1;0;136373;0;0;0;51;465;0;0;0;0;0;594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6459643;0;370;30433;0;0;0;0;0;0;0;0;0;0;0;0;460524;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12628;0;0;0;65739700;0;0;0;0;0;0;0;1;0;0;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16575;0;0;0;0;0;62553;0;0;151843;97545;0;0;0;0;0;202299;0;0;0;0;0;0;0;0;100001;0;0;271;136;0;135;0;0;0;0;0;0;0;0;0;422;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;28;884817;1
ctxt;261359522
btime;1696606325
processes;57187
procs_running;3
procs_blocked;0
softirq;162498409;915466;36997960;14;31063974;129000;0;11216;75495385;728;17884666
